Country	        Life	Income
AUSTRALIA	71	3426
AUSTRIA	        70.4	3350
BELGIUM	        70.6	3346
CANADA	        72	4751
DENMARK	        73.3	5029
FINLAND	        69.8	3312
FRANCE	        72.3	3403
WESTGERMANY	70.3	5040
IRELAND	        70.7	2009
ITALY	        70.6	2298
JAPAN	        73.2	3292
NETHERLANDS	73.8	4103
NEWZEALAND	71.1	3723
NORWAY	        73.9	4102
PORTUGAL  	68.1	956
SWEDEN	        74.7	5596
SWITZERLAND	72.1	2963
BRITAIN	        72	2503
UNITEDSTATES	71.3	5523
ALGERIA	        50.7	430
ECUADOR	        52.3	360
INDONESIA	47.5	110
IRAN      	50	1280
IRAQ	        51.6	560
LIBYA	        52.1	3010
NIGERIA	        36.9	180
SAUDIARABIA	42.3	1530
VENEZUELA	66.4	1240
ARGENTINA	67.1	1191
BRAZIL	        60.7	425
CHILE	        63.2	590
COLOMBIA	45.1	426
COSTA_RICA	63.3	725
DOMINICANREP.	57.9	406
GREECE	        69.1	1760
GUATEMALA	49	302
ISRAEL	        71.4	2526
JAMAICA	        64.6	727
MALAYSIA	56	295
MEXICO	        61.4	684
NICARAGUA	49.9	507
PANAMA	        59.2	754
PERU	        54	334
SINGAPORE	67.5	1268
SPAIN	        69.1	1256
TRINIDAD	64.2	732
TUNISIA	        51.7	434
URUGUAY	        68.5	799
YUGOSLAVIA	67.7	406
ZAMBIA	        43.5	310
BOLIVIA	        49.7	193
CAMEROON	41	165
CONGO	        41	281
EGYPT	        52.7	210
ELSALVADOR	58.5	319
GHANA	        37.1	217
HONDURAS	49	284
IVORYCOAST	35	387
JORDAN	        52.3	334
SOUTHKOREA	61.9	344
LIBERIA	        44.9	197
MOROCCO	        50.5	279
PAPUA	        46.8	477
PARAGUAY	59.4	347
PHILIPPINES	51.1	230
SYRIA	        52.8	334
THAILAND	56.1	210
TURKEY	        53.7	435
SOUTHVIETNAM	50	130
AFGHANISTAN	37.5	83
BURMA	        42.3	73
BURUNDI	        36.7	68
CAMBODIA	43.7	123
CENTRALAFRICANREPUBLIC	34.5	122
CHAD	        32	70
DAHOMEY	        37.3	81
ETHIOPIA	38.5	79
GUINEA	        27	79
HAITI	        32.6	100
INDIA	        41.2	93
KENYA	        49	169
LAOS	        47.5	71
MADAGASCAR	36	120
MALAWI	        38.5	130
MALI	        37.2	50
MAURITANIA	41	174
NEPAL	        40.6	90
NIGER	        41	70
PAKISTAN	51.2	102
RWANDA	        41	61
SIERRALEONE	41	148
SOMALIA	        38.5	85
SRILANKA	65.8	162
SUDAN	        47.6	125
TANZANIA	40.5	120
TOGO	        35	160
UGANDA	        47.5	134
UPPERVOLTA	31.6	62
SOUTHYEMEN	42.3	96
YEMEN	        42.3	77
ZAIRE	        38.8	118
