LA_Nbhd	Income	Schools	Diversity	Age	Homes	Vets	Asian	Black	Latino	White	Longitude	Latitude
Adams_Normandie	29606	691	0.6	26	0.26	0.05	0.05	0.25	0.62	0.06	-118.30027	34.03097
Arleta	65649	719	0.4	29	0.29	0.07	0.11	0.02	0.72	0.13	-118.430015	34.240603
Arlington_Heights	31423	687	0.8	31	0.31	0.05	0.13	0.25	0.57	0.05	-118.320109	34.043611
Atwater_Village	53872	762	0.9	34	0.34	0.06	0.2	0.01	0.51	0.22	-118.265808	34.124908
Baldwin_Hills/Crenshaw	37948	656	0.4	36	0.36	0.1	0.05	0.71	0.17	0.03	-118.3667	34.01909
Bel_Air	208861	924	0.2	46	0.46	0.13	0.08	0.01	0.05	0.83	-118.463558	34.096148
Beverly_Crest	168104	0	0.1	45	0.45	0.1	0.04	0.02	0.03	0.88	-118.424713	34.112107
Beverly_Grove	63039	791	0.2	38	0.38	0.05	0.05	0.02	0.06	0.82	-118.372111	34.076009
Beverlywood	105253	872	0.2	39	0.39	0.08	0.07	0.04	0.06	0.8	-118.395011	34.04161
Boyle_Heights	33235	689	0.1	25	0.25	0.03	0.02	0.01	0.94	0.02	-118.20537	34.0337
Brentwood	112927	882	0.2	39	0.39	0.08	0.06	0.01	0.05	0.84	-118.473	34.052
Broadway_Manchester	29897	656	0.5	23	0.23	0.04	0	0.39	0.59	0.01	-118.27388	33.96153
Canoga_Park	51601	706	0.8	30	0.3	0.06	0.11	0.04	0.51	0.31	-118.598	34.201
Carthay	71398	762	0.8	37	0.37	0.04	0.09	0.13	0.16	0.58	-118.369	34.059
Central_Alameda	31559	669	0.1	22	0.22	0.02	0.01	0.13	0.85	0.01	-118.249	33.998
Century_City	95135	0	0.2	46	0.46	0.12	0.09	0.01	0.04	0.83	-118.416	34.054
Chatsworth	84549	762	0.6	40	0.4	0.11	0.14	0.02	0.14	0.65	-118.602	34.258
Chesterfield_Square	37737	544	0.5	31	0.31	0.07	0.01	0.59	0.37	0.02	-118.31135	33.99325
Cheviot_Hills	109980	0	0.3	42	0.42	0.11	0.09	0.01	0.09	0.79	-118.408511	34.04061
Chinatown	22837	784	1	34	0.34	0.04	0.35	0.21	0.32	0.11	-118.235806	34.063711
Cypress_Park	42615	697	0.2	27	0.27	0.04	0.11	0.01	0.82	0.05	-118.224306	34.09201
Del_Rey	63317	783	1	35	0.35	0.08	0.14	0.04	0.42	0.36	-118.423111	33.988811
Downtown	15003	724	1	39	0.39	0.1	0.21	0.22	0.37	0.16	-118.246707	34.040812
Eagle_Rock	67253	830	1	35	0.35	0.08	0.24	0.02	0.4	0.3	-118.205906	34.137307
East_Hollywood	29927	772	0.7	31	0.31	0.03	0.16	0.02	0.6	0.18	-118.295108	34.089509
Echo_Park	37708	755	0.6	30	0.3	0.04	0.19	0.02	0.64	0.13	-118.258707	34.07901
El_Sereno	45866	739	0.2	28	0.28	0.05	0.11	0.02	0.81	0.05	-118.174605	34.08011
Elysian_Park	28263	905	0.7	31	0.31	0.04	0.43	0.02	0.48	0.03	-118.249807	34.08251
Elysian_Valley	49013	813	0.7	31	0.31	0.04	0.26	0.01	0.61	0.1	-118.241107	34.095009
Encino	78529	899	0.2	42	0.42	0.11	0.05	0.02	0.09	0.8	-118.49251	34.153717
Exposition_Park	33999	733	0.6	26	0.26	0.06	0.01	0.38	0.56	0.02	-118.300208	34.018512
Fairfax	65938	734	0.2	33	0.33	0.05	0.05	0.02	0.06	0.85	-118.35331	34.078209
Florence	29447	680	0.3	23	0.23	0.04	0	0.28	0.7	0	-118.269507	33.974614
Glassell_Park	50098	723	0.5	30	0.3	0.05	0.17	0.01	0.66	0.14	-118.236607	34.113209
Gramercy_Park	57983	653	0.1	36	0.36	0.13	0	0.86	0.12	0.01	-118.305609	34.07131
Granada_Hills	83911	812	0.8	37	0.37	0.11	0.16	0.03	0.21	0.56	-118.505173	34.291746
Green_Meadows	31347	682	0.5	24	0.24	0.05	0	0.44	0.54	0.01	-118.261406	33.940944
Hancock_Park	85277	861	0.4	37	0.37	0.06	0.13	0.04	0.09	0.71	-118.334603	34.072863
Harbor_City	55447	736	1	30	0.3	0.08	0.13	0.11	0.48	0.25	-118.276768	33.790494
Harbor_Gateway	47849	730	0.9	27	0.27	0.08	0.16	0.16	0.53	0.12	-118.291507	33.865898
Harvard_Heights	31173	712	0.5	30	0.3	0.04	0.13	0.16	0.66	0.03	-118.306025	34.046469
Harvard_Park	37013	0	0.6	28	0.28	0.07	0.01	0.48	0.48	0.01	-118.304507	33.983113
Highland_Park	45478	744	0.4	28	0.28	0.05	0.11	0.02	0.72	0.11	-118.192619	34.116994
Historic_South_Central	30882	674	0.1	23	0.23	0.03	0.01	0.1	0.87	0.01	-118.267476	34.015642
Hollywood	33694	718	0.9	31	0.31	0.05	0.07	0.05	0.42	0.41	-118.33061	34.094206
Hollywood_Hills	69277	780	0.3	37	0.37	0.08	0.07	0.05	0.09	0.74	-118.323665	34.120717
Hollywood_Hills_West	108199	961	0.1	41	0.41	0.08	0.04	0.03	0.06	0.85	-118.367911	34.107708
Hyde_Park	39460	647	0.5	31	0.31	0.09	0.01	0.66	0.27	0.02	-118.326308	33.981882
Jefferson_Park	32654	680	0.7	31	0.31	0.08	0.03	0.47	0.45	0.03	-118.322309	34.027712
Koreatown	30558	740	0.8	30	0.3	0.03	0.32	0.05	0.54	0.07	-118.300608	34.06381
Lake_Balboa	65336	777	0.8	35	0.35	0.1	0.09	0.04	0.34	0.49	-118.506817	34.202004
Lake_View_Terrace	67985	746	0.9	31	0.31	0.08	0.05	0.17	0.53	0.22	-118.363613	34.276501
Larchmont	47780	800	1	34	0.34	0.04	0.3	0.03	0.37	0.25	-118.318109	34.07901
Leimert_Park	45865	679	0.3	38	0.38	0.11	0.04	0.8	0.11	0.01	-118.325808	34.011012
Lincoln_Heights	30579	736	0.3	27	0.24	0.03	0.25	0	0.71	0.03	-118.2157	34.0765
Los_Feliz	50793	723	0.8	36	0.25	0.06	0.13	0.04	0.19	0.58	-118.29189	34.11107
Manchester_Square	46093	750	0.2	34	0.57	0.11	0	0.79	0.19	0.01	-118.30901	33.96731
Mar_Vista	62611	709	0.9	35	0.39	0.08	0.12	0.04	0.29	0.51	-118.43882	34.01059
Mid_City	43711	780	0.9	31	0.31	0.06	0.04	0.38	0.45	0.1	-118.36989	34.0395
Mid_Wilshire	58483	739	1	34	0.22	0.06	0.2	0.23	0.2	0.34	-118.34406	34.06216
Mission_Hills	75675	795	0.8	34	0.78	0.1	0.11	0.04	0.54	0.29	-118.46738	34.25729
Montecito_Heights	55901	730	0.5	31	0.51	0.05	0.17	0.03	0.66	0.12	-118.19027	34.09534
Mount_Washington	57725	825	0.7	33	0.55	0.07	0.13	0.03	0.61	0.21	-118.2169	34.10302
North_Hills	52456	760	0.8	28	0.49	0.07	0.12	0.05	0.57	0.24	-118.47633	34.23559
North_Hollywood	42791	724	0.7	30	0.25	0.05	0.06	0.06	0.58	0.27	-118.37903	34.17943
Northridge	67906	836	0.9	32	0.54	0.09	0.14	0.05	0.26	0.5	-118.52734	34.23549
Pacific_Palisades	168008	879	0.1	43	0.83	0.12	0.05	0	0.03	0.89	-118.54461	34.07586
Pacoima	49066	688	0.1	24	0.57	0.04	0.02	0.07	0.86	0.05	-118.41825	34.2689
Palms	50684	793	1	31	0.13	0.05	0.2	0.12	0.23	0.38	-118.402252	34.02278
Panorama_City	44468	721	0.4	25	0.36	0.04	0.12	0.04	0.7	0.12	-118.444504	34.226631
Pico_Robertson	63356	0	0.3	36	0.27	0.05	0.06	0.06	0.07	0.74	-118.245319	34.05439
Pico_Union	26424	677	0.1	27	0.1	0.02	0.08	0.03	0.85	0.03	-118.284843	34.044819
Playa_Vista	68597	771	1	37	0.55	0.11	0.21	0.05	0.35	0.32	-118.414993	33.975979
Porter_Ranch	121428	886	0.7	41	0.92	0.09	0.27	0.02	0.08	0.61	-118.560484	34.278482
Rancho_Park	78116	934	0.7	37	0.58	0.09	0.16	0.03	0.14	0.63	-118.42069	34.04543
Reseda	54771	779	0.9	32	0.52	0.07	0.11	0.04	0.44	0.37	-118.53561	34.20115
Sawtelle	57710	733	0.9	32	0.2	0.05	0.2	0.03	0.23	0.5	-118.46341	34.03057
Shadow_Hills	82796	763	0.7	39	0.78	0.11	0.07	0.01	0.29	0.59	-118.35503	34.2575
Sherman_Oaks	69651	839	0.3	37	0.41	0.08	0.06	0.04	0.12	0.74	-118.44925	34.15112
Silver_Lake	54339	788	1	35	0.36	0.06	0.18	0.03	0.42	0.34	-118.270475	34.086943
South_Park	29518	650	0.2	23	0.23	0.03	0	0.19	0.79	0.01	-118.270107	33.993314
Studio_City	75657	817	0.3	38	0.38	0.09	0.05	0.04	0.09	0.78	-118.379012	34.150306
Sun_Valley	51290	685	0.4	28	0.28	0.05	0.08	0.02	0.69	0.18	-118.387613	34.215604
Sunland	68720	816	0.6	37	0.37	0.12	0.07	0.02	0.22	0.65	-118.311511	34.261102
Sylmar	65783	732	0.4	28	0.28	0.08	0.03	0.04	0.7	0.21	-118.456816	34.313
Tarzana	73195	824	0.4	38	0.38	0.09	0.05	0.04	0.15	0.71	-118.550118	34.164405
Toluca_Lake	73111	762	0.4	37	0.37	0.11	0.05	0.05	0.14	0.72	-118.361609	34.1522
Tujunga	58001	749	0.7	36	0.36	0.1	0.07	0.02	0.26	0.61	-118.29941	34.256002
University_Park	18533	727	1	23	0.23	0.01	0.16	0.07	0.48	0.26	-118.283607	34.023612
Valley_Glen	46175	726	0.8	32	0.32	0.06	0.05	0.04	0.45	0.4	-118.422619	34.186607
Valley_Village	55470	825	0.5	36	0.36	0.07	0.04	0.06	0.19	0.67	-118.405313	34.164806
Van_Nuys	41134	722	0.7	28	0.28	0.06	0.06	0.06	0.61	0.23	-118.448921	34.201102
Vermont_Knolls	27730	682	0.5	24	0.24	0.06	0.01	0.43	0.55	0.01	-118.287007	33.965314
Vermont_Square	29904	647	0.6	26	0.26	0.06	0.01	0.39	0.57	0.01	-118.300208	34.003713
Vermont_Vista	31272	685	0.6	24	0.24	0.07	0.01	0.45	0.52	0.01	-118.282506	33.945414
Vermont_Slauson	31236	679	0.5	25	0.25	0.06	0	0.37	0.61	0.01	-118.291407	33.982214
Watts	24728	689	0.5	21	0.21	0.04	0	0.38	0.61	0.01	-118.246206	33.943315
West_Adams	38209	746	0.6	28	0.28	0.06	0.02	0.38	0.56	0.02	-118.351005	34.032524
West_Hills	103012	878	0.4	39	0.39	0.11	0.11	0.03	0.11	0.71	-118.632157	34.208232
West_Los_Angeles	86403	905	0.3	38	0.38	0.09	0.11	0.02	0.05	0.77	-118.428166	34.046013
Westchester	77473	800	0.9	35	0.35	0.09	0.09	0.17	0.17	0.52	-118.396227	33.959783
Westlake	26757	718	0.3	27	0.27	0.04	0.16	0.04	0.73	0.05	-118.272689	34.062969
Westwood	68716	952	0.6	27	0.27	0.05	0.23	0.02	0.07	0.63	-118.433207	34.067285
Wilmington	40641	703	0.1	24	0.24	0.05	0.02	0.03	0.87	0.06	-118.262431	33.779997
Windsor_Square	61767	0	0.9	38	0.38	0.07	0.42	0.04	0.15	0.38	-118.31852	34.068958
Winnetka	62535	734	1	32	0.32	0.07	0.15	0.04	0.41	0.36	-118.570996	34.208337
Woodland_Hills	89946	826	0.3	40	0.4	0.11	0.07	0.03	0.08	0.78	-118.605726	34.168481
